Object_size, Total_Ptrs, Uniq_Ptrs, Duplicate_Ptrs
64, 10899, 195, 10704, 838
64, 10468, 196, 10272, 897
64, 10473, 196, 10277, 968
64, 10575, 196, 10379, 249
64, 10780, 196, 10584, 1149
64, 10782, 196, 10586, 336
64, 10783, 196, 10587, 839
64, 10789, 196, 10593, 1005
64, 10893, 196, 10697, 340
64, 10456, 197, 10259, 164
64, 10464, 197, 10267, 1209
64, 10780, 197, 10583, 830
64, 10780, 197, 10583, 830
64, 10780, 197, 10583, 830
64, 10783, 197, 10586, 415
64, 10785, 197, 10588, 1238
64, 10785, 197, 10588, 1238
64, 10892, 197, 10695, 843
64, 10895, 197, 10698, 1175
64, 10457, 203, 10254, 324
64, 10457, 203, 10254, 324
64, 10457, 203, 10254, 324
64, 10457, 203, 10254, 324
64, 10457, 203, 10254, 324
64, 10458, 203, 10255, 730
64, 10460, 203, 10257, 1126
64, 10466, 203, 10263, 320
64, 10568, 203, 10365, 1469
64, 10780, 203, 10577, 999
64, 10781, 203, 10578, 250
64, 10781, 203, 10578, 250
64, 10781, 203, 10578, 250
64, 10782, 203, 10579, 332
64, 10889, 203, 10686, 845
64, 10574, 204, 10370, 1208
64, 10893, 204, 10689, 1174
64, 10569, 205, 10364, 164
64, 10784, 205, 10579, 1492
64, 10785, 205, 10580, 1493
64, 10785, 205, 10580, 1493
64, 10787, 205, 10582, 998
64, 10898, 205, 10693, 1010
64, 10576, 206, 10370, 1222
64, 10468, 207, 10261, 573
64, 10772, 225, 10547, 587
64, 10685, 251, 10434, 1047
64, 10579, 263, 10316, 189
64, 10460, 283, 10177, 180
64, 10460, 283, 10177, 189
64, 10461, 283, 10178, 235
64, 10464, 283, 10181, 634
64, 10466, 283, 10183, 578
64, 10470, 283, 10187, 608
64, 10474, 283, 10191, 201
64, 10546, 283, 10263, 866
64, 10546, 283, 10263, 866
64, 10546, 283, 10263, 866
64, 10550, 283, 10267, 1148
64, 10552, 283, 10269, 192
64, 10553, 283, 10270, 333
64, 10553, 283, 10270, 808
64, 10554, 283, 10271, 202
64, 10555, 283, 10272, 236
64, 10571, 283, 10288, 1042
64, 10621, 283, 10338, 1111
64, 10621, 283, 10338, 260
64, 10624, 283, 10341, 553
64, 10627, 283, 10344, 808
64, 10683, 283, 10400, 341
64, 10686, 283, 10403, 882
64, 10686, 283, 10403, 882
64, 10688, 283, 10405, 1047
64, 10689, 283, 10406, 1233
64, 10707, 283, 10424, 224
64, 10709, 283, 10426, 795
64, 10712, 283, 10429, 559
64, 10765, 283, 10482, 346
64, 10773, 283, 10490, 509
64, 10773, 283, 10490, 530
64, 10773, 283, 10490, 539
64, 10774, 283, 10491, 512
64, 10775, 283, 10492, 273
64, 10778, 283, 10495, 552
64, 10781, 283, 10498, 117
64, 10786, 283, 10503, 661
64, 10790, 283, 10507, 202
64, 10794, 283, 10511, 520
64, 10866, 283, 10583, 749
64, 10869, 283, 10586, 204
64, 10876, 283, 10593, 173
64, 10466, 284, 10182, 165
64, 10685, 284, 10401, 1054
64, 10692, 284, 10408, 345
64, 10769, 284, 10485, 760
64, 10882, 284, 10598, 622
64, 10463, 285, 10178, 651
64, 10467, 285, 10182, 595
64, 10481, 285, 10196, 611
64, 10547, 285, 10262, 803
64, 10548, 285, 10263, 613
64, 10577, 285, 10292, 872
64, 10585, 285, 10300, 1271
64, 10587, 285, 10302, 849
64, 10717, 285, 10432, 765
64, 10769, 285, 10484, 882
64, 10774, 285, 10489, 284
64, 10775, 285, 10490, 192
64, 10779, 285, 10494, 195
64, 10473, 286, 10187, 600
64, 10783, 286, 10497, 593
64, 10568, 293, 10275, 511
64, 10571, 293, 10278, 830
64, 10574, 293, 10281, 978
64, 10574, 293, 10281, 978
64, 10581, 293, 10288, 892
64, 10582, 293, 10289, 114
64, 10588, 293, 10295, 821
64, 10592, 293, 10299, 950
64, 10593, 293, 10300, 527
64, 10593, 293, 10300, 527
64, 10596, 293, 10303, 743
64, 10601, 293, 10308, 208
64, 10614, 293, 10321, 784
64, 10618, 293, 10325, 570
64, 10619, 293, 10326, 1059
64, 10624, 293, 10331, 636
64, 10625, 293, 10332, 907
64, 10628, 293, 10335, 206
64, 10628, 293, 10335, 238
64, 10632, 293, 10339, 688
64, 10637, 293, 10344, 769
64, 10641, 293, 10348, 236
64, 10642, 293, 10349, 996
64, 10643, 293, 10350, 886
64, 10645, 293, 10352, 320
64, 10649, 293, 10356, 808
64, 10650, 293, 10357, 575
64, 10652, 293, 10359, 196
64, 10653, 293, 10360, 195
64, 10656, 293, 10363, 185
64, 10656, 293, 10363, 230
64, 10657, 293, 10364, 207
64, 10658, 293, 10365, 197
64, 10659, 293, 10366, 761
64, 10662, 293, 10369, 233
64, 10664, 293, 10371, 836
64, 10668, 293, 10375, 1154
64, 10671, 293, 10378, 248
64, 10673, 293, 10380, 327
64, 10676, 293, 10383, 287
64, 10676, 293, 10383, 707
64, 10685, 293, 10392, 944
64, 10689, 293, 10396, 925
64, 10695, 293, 10402, 545
64, 10698, 293, 10405, 1122
64, 10700, 293, 10407, 838
64, 10702, 293, 10409, 988
64, 10703, 293, 10410, 592
64, 10704, 293, 10411, 884
64, 10709, 293, 10416, 663
64, 10713, 293, 10420, 531
64, 10717, 293, 10424, 216
64, 10718, 293, 10425, 313
64, 10627, 294, 10333, 694
64, 10667, 294, 10373, 833
64, 10705, 294, 10411, 569
64, 10734, 294, 10440, 662
64, 10582, 295, 10287, 648
64, 10594, 295, 10299, 1057
64, 10615, 295, 10320, 140
64, 10615, 295, 10320, 786
64, 10620, 295, 10325, 1139
64, 10621, 295, 10326, 242
64, 10638, 295, 10343, 764
64, 10640, 295, 10345, 252
64, 10649, 295, 10354, 302
64, 10653, 295, 10358, 198
64, 10655, 295, 10360, 598
64, 10666, 295, 10371, 560
64, 10679, 295, 10384, 666
64, 10680, 295, 10385, 202
64, 10694, 295, 10399, 995
64, 10743, 295, 10448, 143
64, 10601, 297, 10304, 548
64, 10648, 297, 10351, 941
64, 10669, 297, 10372, 217
64, 10672, 297, 10375, 720
64, 10548, 331, 10217, 493
64, 10686, 347, 10339, 581
64, 10529, 373, 10156, 675
64, 10533, 373, 10160, 183
64, 10539, 373, 10166, 166
64, 10539, 373, 10166, 168
64, 10564, 373, 10191, 682
64, 10567, 373, 10194, 251
64, 10569, 373, 10196, 182
64, 10588, 373, 10215, 98
64, 10595, 373, 10222, 547
64, 10689, 373, 10316, 587
