Object_size, Total_Ptrs, Uniq_Ptrs, Duplicate_Ptrs, Valid_Ptrs
16, 10246, 1033, 9213, 175
16, 10257, 1033, 9224, 179
16, 10277, 1033, 9244, 162
16, 10367, 1033, 9334, 178
16, 10569, 1033, 9536, 163
16, 10076, 1034, 9042, 115
16, 10099, 1034, 9065, 139
16, 10150, 1034, 9116, 160
16, 10194, 1035, 9159, 136
16, 10257, 1035, 9222, 199
16, 10259, 1035, 9224, 148
16, 10366, 1035, 9331, 153
16, 10414, 1035, 9379, 93
16, 10567, 1035, 9532, 178
16, 10093, 1036, 9057, 116
16, 10163, 1036, 9127, 174
16, 10147, 1037, 9110, 115
16, 10202, 1037, 9165, 123
16, 10251, 1037, 9214, 102
16, 10256, 1037, 9219, 106
16, 10348, 1038, 9310, 194
16, 10189, 1039, 9150, 102
16, 10289, 1039, 9250, 195
16, 10160, 1040, 9120, 173
16, 10215, 1040, 9175, 129
16, 10227, 1040, 9187, 119
16, 10107, 1041, 9066, 162
16, 10267, 1041, 9226, 157
16, 10710, 1041, 9669, 167
16, 10310, 1042, 9268, 169
16, 10318, 1042, 9276, 101
16, 10808, 1042, 9766, 193
16, 10277, 1043, 9234, 186
16, 10665, 1044, 9621, 144
16, 10537, 1045, 9492, 124
16, 10574, 1045, 9529, 104
16, 10580, 1045, 9535, 97
16, 10176, 1046, 9130, 202
16, 10348, 1046, 9302, 114
16, 10424, 1046, 9378, 150
16, 10514, 1046, 9468, 186
16, 10285, 1048, 9237, 142
16, 10397, 1048, 9349, 169
16, 10542, 1048, 9494, 225
16, 10088, 1049, 9039, 172
16, 10140, 1049, 9091, 122
16, 10287, 1049, 9238, 159
16, 10541, 1049, 9492, 135
16, 10576, 1049, 9527, 169
16, 10194, 1050, 9144, 136
16, 10398, 1050, 9348, 207
16, 10439, 1050, 9389, 109
16, 10441, 1050, 9391, 166
16, 10441, 1050, 9391, 209
16, 10496, 1050, 9446, 107
16, 10702, 1050, 9652, 117
16, 10161, 1051, 9110, 134
16, 10320, 1051, 9269, 162
16, 10003, 1052, 8951, 137
16, 10071, 1052, 9019, 136
16, 10361, 1052, 9309, 144
16, 10028, 1053, 8975, 185
16, 10103, 1053, 9050, 194
16, 10255, 1053, 9202, 154
16, 10131, 1054, 9077, 136
16, 10189, 1054, 9135, 144
16, 10320, 1054, 9266, 153
16, 10335, 1054, 9281, 172
16, 10366, 1054, 9312, 198
16, 10531, 1054, 9477, 164
16, 9981, 1054, 8927, 136
16, 10262, 1055, 9207, 89
16, 10378, 1055, 9323, 148
16, 10069, 1056, 9013, 134
16, 10196, 1056, 9140, 151
16, 10534, 1056, 9478, 169
16, 10197, 1057, 9140, 188
16, 10221, 1057, 9164, 164
16, 10211, 1058, 9153, 140
16, 10578, 1058, 9520, 190
16, 10205, 1059, 9146, 197
16, 10218, 1059, 9159, 163
16, 10413, 1059, 9354, 155
16, 10219, 1060, 9159, 181
16, 10221, 1060, 9161, 87
16, 10514, 1060, 9454, 206
16, 10033, 1061, 8972, 205
16, 10290, 1061, 9229, 135
